SG=Ia-3d'
 name=230.148
 nsym=24
 spinor=True
symmetries=



kpoint  N : 0.000000 0.000000 0.500000 ; N  :  0.5 0.5 0.0 :  1 2 3 4
-N2  2   2.000 2.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 0.000 0.000 -2.000 0.000 0.000 0.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000



kpoint  P : 0.250000 0.250000 0.250000 ; P  :  0.5 0.5 0.5 :  1 2 3 4 5 6 7 8 9 10 11 12
-P4  1   1.000 1.000 -0.000 -0.000 -0.000 -1.000 -0.000 -0.000 -0.000 -1.000 -0.000 -0.000 -0.000 -1.000 -0.000 -0.000 -0.000 1.000 -0.000 -0.000 -0.000 1.000 -0.000 -0.000 -0.000 -0.707 -0.707 -0.707 0.707 -0.707 0.707 -0.707 0.707 0.707 -0.707 -0.707 -0.707 0.707 0.707 0.707 -0.707 0.707 -0.707 0.707 -0.707 -0.707 0.707 0.707 0.707 0.000 0.000 0.500 0.500 0.500 -1.000 0.500 0.500 0.500 -1.000 -0.500 -0.500 -0.500 -1.000 -0.500 -0.500 -0.500 0.000 -0.500 -0.500 -0.500 0.000 0.500 0.500 0.500 -0.750 0.750 -0.750 0.250 -0.750 0.250 0.750 0.250 0.250 -0.750 -0.750 0.750 0.250 -0.250 0.250 -0.750 0.250 -0.750 -0.250 -0.750 -0.750 0.250 0.250 -0.250
-P5  1   1.000 1.000 -0.000 -0.000 -0.000 0.500 -0.866 -0.866 -0.866 0.500 -0.866 -0.866 -0.866 -1.000 -0.000 -0.000 -0.000 -0.500 0.866 0.866 0.866 -0.500 0.866 0.866 0.866 -0.707 -0.707 -0.707 0.707 -0.259 0.259 0.966 0.259 -0.966 0.966 0.966 -0.259 0.707 0.707 0.707 -0.707 0.259 -0.259 -0.966 -0.259 0.966 -0.966 -0.966 0.259 0.000 0.000 0.500 0.500 0.500 -0.333 -0.833 -0.833 -0.833 0.333 0.833 0.833 0.833 -1.000 -0.500 -0.500 -0.500 0.667 0.167 0.167 0.167 -0.667 -0.167 -0.167 -0.167 -0.750 0.750 -0.750 0.250 0.583 -0.417 0.083 -0.417 0.917 -0.083 -0.083 -0.583 0.250 -0.250 0.250 -0.750 -0.417 0.583 -0.917 0.583 -0.083 0.917 0.917 0.417
-P6  1   1.000 1.000 -0.000 -0.000 -0.000 0.500 0.866 0.866 0.866 0.500 0.866 0.866 0.866 -1.000 -0.000 -0.000 -0.000 -0.500 -0.866 -0.866 -0.866 -0.500 -0.866 -0.866 -0.866 -0.707 -0.707 -0.707 0.707 0.966 -0.966 -0.259 -0.966 0.259 -0.259 -0.259 0.966 0.707 0.707 0.707 -0.707 -0.966 0.966 0.259 0.966 -0.259 0.259 0.259 -0.966 0.000 0.000 0.500 0.500 0.500 0.333 -0.167 -0.167 -0.167 -0.333 0.167 0.167 0.167 -1.000 -0.500 -0.500 -0.500 -0.667 0.833 0.833 0.833 0.667 -0.833 -0.833 -0.833 -0.750 0.750 -0.750 0.250 -0.083 0.917 -0.583 0.917 -0.417 0.583 0.583 0.083 0.250 -0.250 0.250 -0.750 0.917 -0.083 0.417 -0.083 0.583 -0.417 -0.417 -0.917
-P7  3   3.000 3.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -3.000 -0.000 -0.000 -0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.707 -0.707 0.707 -0.707 0.707 0.707 -0.707 -0.707 -0.707 -0.707 0.707 -0.707 0.707 0.707 -0.707 0.707 -0.707 -0.707 0.707 0.707 0.707 0.707 -0.707 0.707 0.000 0.000 -0.500 -0.500 -0.500 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.500 0.500 0.500 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.750 0.750 0.250 -0.750 0.250 0.250 0.750 -0.750 -0.750 -0.750 0.250 0.750 0.250 -0.250 -0.750 0.250 -0.750 -0.750 -0.250 0.250 0.250 0.250 -0.750 -0.250
